characteresitics,All tests,newly diagnosed HIV +ve test,newly diagnosed HIV +ve test %,Total reach on Facebook,$10 ad estimated reach per day low,$10 ad estimated reach per day high,$10 ad estimated reach per day average,$10 ad estimated clicks per day low,$10 ad estimated clicks per day  high,$10 ad estimated clicks per day average, estimated clicks per reach rate    low,? estimated clicks per reach rate    high,?estimated clicks per reach rate average,estimated budget to reach total  reach by $10 ads       (low),estimated budget to reach total  reach by $10 ads      (high),estimated budget to reach total reach by $10 ads (average),estimated budget to reach total reach by $10 ads averaged daily reach ,estimated action # based on estimated clicks low,estimated action # based on estimated clicks high,estimated action # based on estimated clicks  Average,estimated cost per action (low),Estimated cost per action (high),Estimated cost per action (average),estimated positive test based on known averaged data,cost per new diagnosis (low),cost per new diagnosis (high),cost per new diagnosis (Average),cost per new diagnosis based on averaged daily reach,estimated clicks * conversion rate * positivity rate from $10 ads,cost per new diagnosis,Estimated cost per click
Age at test (years),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<13,81,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-19,8069,124,0.015,890000,144,415,279.5,4,18,11,0.027777778,0.125,0.039355993,2144.578313,6180.555556,4162.566934,3184.257603,2719.444444,12237.5,3852.951699,0.17524644,2.272727273,0.826446281,57.79427549,37.10710611,106.9406183,72.02386221,55.09641873,0.1815,55.09641873,0.090909091
20-29,80793,1666,0.021,5400000,153,443,298,16,46,31,0.104575163,0.300653595,0.104026846,12189.61625,35294.11765,23741.86695,18120.80537,62117.64706,178588.2353,61791.94631,0.068255427,0.568181818,0.293255132,1297.630872,9.393747106,27.19888868,18.29631789,13.96453009,0.7161,13.96453009,0.032258065
30-39,42911,817,0.019,3800000,186,539,362.5,17,48,32.5,0.091397849,0.258064516,0.089655172,7050.092764,20430.10753,13740.10015,10482.75862,38204.30108,107870.9677,37475.86207,0.065356721,0.534759358,0.27972028,712.0413793,9.90124025,28.69230373,19.29677199,14.72211999,0.67925,14.72211999,0.030769231
40-49,20371,255,0.013,2200000,195,564,379.5,16,47,31.5,0.082051282,0.241025641,0.083003953,3900.70922,11282.05128,7591.380251,5797.101449,19856.41026,58328.20513,20086.95652,0.06687518,0.568181818,0.288600289,261.1304348,14.9377809,43.20465859,29.07121974,22.2000222,0.45045,22.2000222,0.031746032
50+,23082,192,0.008,3200000,283,819,551,17,48,32.5,0.060070671,0.169611307,0.058983666,3907.203907,11307.42049,7607.312201,5807.622505,21144.87633,59703.18021,20762.25045,0.065443815,0.534759358,0.27972028,166.0980036,23.52348506,68.07679953,45.80014229,34.96503497,0.286,34.96503497,0.030769231
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,24294,313,0.013,2700000,171,494,332.5,15,43,29,0.087719298,0.251461988,0.087218045,5465.587045,15789.47368,10627.53036,8120.300752,26052.63158,74684.21053,25903.7594,0.073182631,0.606060606,0.313479624,336.7488722,16.2304539,46.88797792,31.55921591,24.11381722,0.4147,24.11381722,0.034482759
Midwest,22948,359,0.016,2900000,199,574,386.5,15,44,29.5,0.075376884,0.221105528,0.076326003,5052.264808,14572.86432,9812.564565,7503.234153,24045.22613,70532.66332,24347.99483,0.071630144,0.606060606,0.30816641,389.5679172,12.96889345,37.40776301,25.18832823,19.26040062,0.5192,19.26040062,0.033898305
South,76258,1749,0.023,6200000,190,548,369,16,47,31.5,0.084210526,0.247368421,0.085365854,11313.86861,32631.57895,21972.72378,16802.16802,57431.57895,168705.2632,58219.5122,0.067062926,0.568181818,0.288600289,1339.04878,8.449183314,24.36922345,16.40920338,12.54783863,0.79695,12.54783863,0.031746032
West,48538,597,0.012,3800000,152,440,296,15,45,30,0.098684211,0.296052632,0.101351351,8636.363636,25000,16818.18182,12837.83784,41250,123750,42364.86486,0.069788797,0.606060606,0.303030303,508.3783784,16.98806244,49.17597023,33.08201634,25.25252525,0.396,25.25252525,0.033333333
U.S. Dependent areas,3761,40,0.011,150000,449,1300,874.5,17,50,33.5,0.037861915,0.111358575,0.038307604,115.3846154,334.0757238,224.7301696,171.5265866,624.7216036,1837.416481,632.0754717,0.062797203,0.534759358,0.271370421,6.952830189,16.59534495,48.04888294,32.32211395,24.67003824,0.40535,24.67003824,0.029850746
Total,175799,3058,0.017,16000000,200,578,389,14,41,27.5,0.07,0.205,0.070694087,27681.6609,80000,53840.83045,41131.1054,123200,360800,124421.5938,0.076723007,0.649350649,0.330578512,2115.167095,13.08722179,37.82207098,25.45464638,19.44579485,0.51425,19.44579485,0.036363636
