Budget,Lowest estimated reach,Delta low reach,Highest estimated  reach,delta high reach,lowest clicks,highest clicks
10,136,136,393,393,15,42
50,497,361,1400,1007,34,97
100,919,422,2700,1300,51,147
200,1800,881,5100,2400,86,249
500,4300,2500,12400,7300,191,552
750,6400,2100,18500,6100,278,805
1000,8500,2100,24600,6100,366,1100
1500,12800,4300,36900,12300,541,1600
2000,17000,4200,49100,12200,716,2100
5000,40900,23900,118200,69100,1700,4800
10000,70200,29300,203000,84800,2500,7200
20000,128900,58700,372600,169600,4100,11900
50000,214200,85300,619100,246500,6400,18500
100000,320300,106100,925600,306500,9100,26300
500000,843700,523400,2400000,1474400,22800,66000
1000000,895400,51700,2600000,200000,24300,70200
