,newly diagnosed HIV +ve test %,Total reach on Facebook,$10 ad estimated reach per day low,$10 ad estimated reach per day high,$10 ad estimated reach per day average,$10 ad estimated clicks per day low,$10 ad estimated clicks per day  high,$10 ad estimated clicks per day average, estimated clicks per reach rate    low, estimated clicks per reach rate    high,estimated clicks per reach rate average,estimated budget to reach total  reach by $10 ads       (low),estimated budget to reach total  reach by $10 ads      (high),estimated budget to reach total reach by $10 ads (average),estimated budget to reach total reach by $10 ads averaged daily reach ,estimated action # based on estimated clicks low,estimated action # based on estimated clicks high,estimated action # based on estimated clicks  Average,,estimated cost per action (low),Estimated cost per action (high),Estimated cost per action (average),estimated positive test based on known averaged data,cost per new diagnosis (low),cost per new diagnosis (high),cost per new diagnosis (Average),cost per new diagnosis based on averaged daily reach,estimated clicks * conversion rate * positivity rate from $10 ads,cost per new diagnosis,Estimated cost per click
Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-19,0.012828947,140000,176,508,342,4,20,12,0.022727273,0.113636364,0.035087719,275.5905512,795.4545455,535.5225483,409.3567251,350,1750,540.3508772,127.82,0.157480315,2.272727273,1.215103794,6.932132964,39.75552007,114.7488875,77.25220377,59.05205905,0.169342105,59.05205905,0.083333333
20-29,0.017960526,950000,87,253,170,3,19,11,0.034482759,0.218390805,0.064705882,3754.940711,10919.54023,7337.240471,5588.235294,3603.448276,22821.83908,6761.764706,867.35,0.164532784,3.03030303,1.597417907,121.4448529,30.91889545,89.91356954,60.4162325,46.01459147,0.217322368,46.01459147,0.090909091
30-39,0.01625,710000,110,319,214.5,11,32,21.5,0.1,0.290909091,0.1002331,2225.705329,6454.545455,4340.125392,3310.02331,7810,22720,7828.205128,648.23,0.097962382,0.826446281,0.462204332,127.2083333,17.49653714,50.73995772,34.11824743,26.02049114,0.3843125,26.02049114,0.046511628
40-49,0.011118421,380000,111,321,216,8,23,15.5,0.072072072,0.207207207,0.071759259,1183.800623,3423.423423,2303.612023,1759.259259,3012.612613,8661.261261,2999.537037,346.94,0.136677626,1.136363636,0.636520631,33.35011574,35.49614737,102.6510208,69.07358407,52.751219,0.189569079,52.751219,0.064516129
50+,0.006842105,550000,218,631,424.5,16,46,31,0.073394495,0.211009174,0.073027091,871.6323296,2522.93578,1697.284055,1295.641932,4440.366972,12766.05505,4418.138987,502.15,0.068277344,0.568181818,0.318229581,30.22937202,28.83395425,83.4597483,56.14685127,42.86036544,0.233315789,42.86036544,0.032258065
Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-19,0.015789474,160000,135,391,263,3,15,9,0.022222222,0.111111111,0.034220532,409.2071611,1185.185185,797.1961732,608.365019,391.1111111,1955.555556,602.2813688,146.08,0.209253662,3.03030303,1.619778346,9.509705823,43.03047526,124.6290061,83.82974068,63.97306397,0.156315789,63.97306397,0.111111111
20-29,0.022105263,950000,112,324,218,15,42,28.5,0.133928571,0.375,0.130733945,2932.098765,8482.142857,5707.120811,4357.798165,13995.53571,39187.5,13661.69725,867.35,0.074822297,0.606060606,0.340441452,301.9954128,9.709083783,28.08699237,18.89803808,14.43001443,0.693,14.43001443,0.035087719
30-39,0.02,670000,163,470,316.5,14,42,28,0.085889571,0.257668712,0.088467615,1425.531915,4110.429448,2767.980681,2116.903633,6330.06135,18990.18405,6520.063191,611.71,0.075066777,0.649350649,0.362208713,130.4012638,10.93188726,31.52139272,21.22663999,16.23376623,0.616,16.23376623,0.035714286
40-49,0.013684211,410000,201,582,391.5,16,47,31.5,0.07960199,0.233830846,0.08045977,704.467354,2039.800995,1372.134174,1047.254151,3590.049751,10545.77114,3628.735632,374.33,0.066800933,0.568181818,0.317491376,49.65638234,14.18684408,41.07832466,27.63258437,21.09002109,0.474157895,21.09002109,0.031746032
50+,0.008421053,690000,233,674,453.5,17,50,33.5,0.072961373,0.214592275,0.073869901,1023.738872,2961.373391,1992.556131,1521.499449,5537.76824,16287.55365,5606.725469,629.97,0.06285406,0.534759358,0.298806709,47.21453026,21.68270799,62.72165315,42.20218057,32.22523745,0.310315789,32.22523745,0.029850746
South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-19,0.022697368,370000,176,507,341.5,3,19,11,0.017045455,0.107954545,0.032210835,729.7830375,2102.272727,1416.027882,1083.455344,693.75,4393.75,1310.980966,337.81,0.166095713,3.03030303,1.598199371,29.75581799,24.52572595,70.65081284,47.5882694,36.41154629,0.274638158,36.41154629,0.090909091
20-29,0.031776316,2200000,129,374,251.5,15,42,28.5,0.11627907,0.325581395,0.11332008,5882.352941,17054.26357,11468.30825,8747.514911,28139.53488,78790.69767,27423.45924,2008.6,0.074657962,0.606060606,0.340359284,871.416501,6.750334581,19.57073747,13.16053602,10.03827091,0.9961875,10.03827091,0.035087719
30-39,0.02875,1500000,136,392,264,14,40,27,0.102941176,0.294117647,0.102272727,3826.530612,11029.41176,7427.971188,5681.818182,16985.29412,48529.41176,16875,1369.5,0.078849722,0.649350649,0.364100186,485.15625,7.887212856,22.73373117,15.31047201,11.71131606,0.853875,11.71131606,0.037037037
40-49,0.019671053,860000,114,329,221.5,8,24,16,0.070175439,0.210526316,0.072234763,2613.981763,7543.859649,5078.920706,3882.61851,6638.596491,19915.78947,6833.408578,785.18,0.131251727,1.136363636,0.633807682,134.4203398,19.44632611,56.12141482,37.78387046,28.88415932,0.346210526,28.88415932,0.0625
