Budget,Lowest reach,Delta low reach,highest reach,delta high reach,lowest clicks,highest clicks
10,136,136,393,393,15,42
50,497,361,1400,1007,34,97
100,919,422,2700,1300,51,147
500,4300,3381,12400,9700,191,552
1000,8500,4200,24600,12200,366,1100
5000,40900,32400,118200,93600,1700,4800
10000,70200,29300,203000,84800,2500,7200
50000,214200,144000,619100,416100,6400,18500
100000,320300,106100,925600,306500,9100,26300
500000,843700,523400,2400000,1474400,22800,66000
1000000,895400,51700,2600000,200000,24300,70200
